freq	siec	plant_tec	operator	unit	geo\TIME_PERIOD	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	HR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	HU	1760	1760	1840	1840	1840	1840	1840	1840	1843	1840	1851	1866	1866	1866	1866	1866	1866	1825	1940	1940	2000	2000	2000	2000	2000	2000	2000	2000	2013	2013	2013	2027	2027	2027
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	IE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	IT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	LT	2730	2730	2730	2730	2730	2730	2730	2367	2367	2367	2367	2367	2367	2367	2367	1183	1183	1183	1183	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	LV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	MT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	NL	508	505	505	505	505	505	505	449	449	449	449	449	449	449	449	449	510	510	510	510	510	510	510	485	485	512	512	512	512	512	512	512	512	512
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	NO	: 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	PL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	PT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	RO	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	707	707	1411	1411	1411	1411	1411	1411	1411	1411	1411	1411	1411.3	1411.3	1411.3	1411.3	1411.3	1411.3	1411.3
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	: 
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	SE	9970	10000	10000	10000	10040	10055	10055	10083	10083	10076	9461	9436	9452	9441	9471	9471	9454	9074	8938	8839	8977	9323	9436	9408	9507	9688	9768	8999	8656	8624	7777	6899	6901	7001
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	SI	0	0	632	632	664	664	664	664	664	664	656	656	656	656	656	656	666	666	666	666	666	688	688	688	688	688	688	688	688	688	688	688	688	688
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	SK	0	0	0	0	0	1760	1760	1760	2200	2200	2640	2640	2640	2640	2640	2640	2640	2200	2200	1820	1820	1940	1939	1940	1940	1940	1940	1940	1940	1940	1971	2003	2003	2003
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A	N9000	CAP_NET_ELC	PRR_MAIN	MW	XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0
A	RA100	CAP_NET_ELC	PRR_MAIN	MW	AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1508	1628	1781	1725	1798	1913	2047	2105	2162	2387	2507	2493	2518.86
