DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CY,2023,20.213,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2004,6.773,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2005,7.113,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2006,7.362,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2007,7.895,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2008,8.674,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2009,9.977,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2010,10.513,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2011,10.945,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2012,12.814,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2013,13.927,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2014,15.074,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2015,15.07,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2016,14.926,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2017,14.799,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2018,15.139,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2019,16.239,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2020,17.303,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2021,17.614,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2022,18.123,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,CZ,2023,18.586,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2004,6.207,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2005,7.167,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2006,8.466,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2007,10.039,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2008,10.072,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2009,10.851,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2010,11.667,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2011,12.47,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2012,13.549,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2013,13.757,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2014,14.381,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2015,14.901,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2016,14.885,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2017,15.472,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2018,16.66,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2019,17.266,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2020,19.09,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2021,19.300,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2022,20.814,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DE,2023,21.562,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2004,14.839,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2005,15.955,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2006,16.332,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2007,17.747,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2008,18.543,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2009,19.948,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2010,21.888,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2011,23.389,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2012,25.465,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2013,27.173,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2014,29.31,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2015,30.469,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2016,31.715,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2017,34.387,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2018,35.159,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2019,37.02,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2020,31.681,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2021,41.813,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2022,42.383,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,DK,2023,44.396,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EA20,2021,20.656,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EA20,2022,21.804,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EA20,2023,23.400,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2004,18.42,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2005,17.478,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2006,16.011,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2007,17.139,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2008,18.811,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2009,23.009,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2010,24.575,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2011,25.515,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2012,25.586,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2013,25.356,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2014,26.13,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2015,28.987,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2016,29.232,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2017,29.538,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2018,29.97,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2019,31.73,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2020,30.069,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2021,37.342,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2022,38.542,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EE,2023,40.950,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2004,7.161,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2005,7.277,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2006,7.458,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2007,8.249,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2008,8.183,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2009,8.731,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2010,10.077,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2011,11.153,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2012,13.741,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2013,15.326,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2014,15.683,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2015,15.69,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2016,15.39,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2017,17.3,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2018,18.001,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2019,19.633,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2020,21.749,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2021,22.001,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2022,22.671,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,A,REN,PC,EL,2023,25.269,,
