DATAFLOW,LAST UPDATE,freq,siec,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2015,0.433,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2016,1.085,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2017,0.512,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2018,0.772,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2019,0.302,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2020,0.297,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2021,1.095,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2022,0.328,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,ES,2023,0.447,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2004,0.838,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2005,0.631,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2006,0.674,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2007,0.741,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2008,0.698,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2009,0.727,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2010,0.919,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2011,0.669,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2012,0.696,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2013,0.804,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2014,0.807,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2015,0.661,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2016,0.777,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2017,0.509,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2018,0.693,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2019,0.549,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,EU27_2020,2020,0.600,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2004,0.652,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2005,0.646,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2006,0.592,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2007,0.617,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2008,0.698,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2009,0.631,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2010,0.653,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2011,0.524,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2012,0.693,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2013,0.831,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2014,0.665,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2015,0.764,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2016,0.717,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2017,0.628,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2018,0.723,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2019,0.636,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2020,0.759,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2021,0.712,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2022,0.530,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,FR,2023,0.614,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2004,1.537,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2005,1.349,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2006,1.015,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2007,0.701,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2008,1.160,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2009,1.386,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2010,1.889,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2011,0.428,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2012,1.096,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2013,1.921,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2014,1.682,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2015,0.937,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2016,1.313,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2017,1.091,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2018,1.359,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2019,1.436,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2020,1.064,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2021,1.289,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2022,1.133,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,HR,2023,0.000,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,IT,2004,0.608,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,IT,2005,0.403,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,IT,2006,0.590,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,IT,2007,0.405,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,IT,2008,0.644,,
ESTAT:NRG_IND_URED(1.0),07/03/25 23:00:00,A,E7000,ALF_MIX,NR,IT,2009,0.764,,
