STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,DK,Denmark,2018,,14.57,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,DK,Denmark,2019,,14.31,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,DK,Denmark,2020,,13.09,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,DK,Denmark,2021,,13.84,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,DK,Denmark,2022,,13.34,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,DK,Denmark,2023,,13.37,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2014,,2.82,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2015,,2.80,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2016,,2.84,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,FEC_EED,Final energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,EE,Estonia,2017,,2.87,,,,,
