DATAFLOW,LAST UPDATE,freq,network,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,DE,2021,240.960,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,DE,2022,203.520,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,DE,2023,203.520,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,DK,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,DK,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,DK,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EA20,2021,1204.436,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EA20,2022,1411.940,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EA20,2023,1385.072,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EL,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EL,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EL,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,ES,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,ES,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,ES,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EU27_2020,2021,1204.436,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EU27_2020,2022,1411.940,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,EU27_2020,2023,1385.072,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,FI,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,FI,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,FI,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,FR,2021,900.500,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,FR,2022,1121.580,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,FR,2023,1102.150,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,GE,2021,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,GE,2022,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,GE,2023,0.000,,
ESTAT:NRG_IND_RCAEBT(1.0),07/03/25 23:00:00,A,DCL,CL_ES_NET,GWH,HR,2021,0.000,,
